Customer,Purchases,Sales,Months
1-1006583,897,516320.72,45
1-1005290,727,321443.13,35
1-1006355,490,201264.19,47
1-1000050,325,130787.1,19
1-1005671,276,124223.92,0
1001116,192,68924.8,0
1001000,152,104967.99,0
2-1001441,127,62694.66,69
1-1001518,110,6706.3,72
2-1000496,61,169346.09,71
1-1000432,56,2857.91,77
6-1000115,52,5686.3,20
1-1001675,48,25105.2,70
1-1002496,42,200975.6,66
1-1004757,41,78315.18,53
1016390,38,22879.2,68
2-1001756,31,11733.5,62
1016705,31,19333.8,37
6-1000002,30,2181.49,26
4-1000412,29,14041.54,20
240009431,26,14930.12,79
6-1000114,26,3695.69,22
6-1000001,26,1315.78,17
6-1001016,26,7119.24,17
1-1003410,24,13975.14,55
1016523,23,8999.6,87
4-1000206,23,18769.8,24
1-1005692,23,10056.8,8
1007979,22,1344.92,94
1013750,21,14545.12,149
1-1002335,21,9245.4,67
1-1008205,21,32926.27,11
1-1000002,20,7589.8,47
1-1007820,20,15429.56,37
6-1000220,20,4912.5,26
1004862,18,8003.6,161
2-1000596,18,5636,60
1-1001616,18,12516.72,46
4-1000046,18,5593.6,26
1-1002477,18,9015,8
1,17,5838.6,168
1-1004256,17,12379.9,54
1-1002578,17,5988.82,53
6-1000411,17,4592.82,13
1-1007880,17,1532.2,6
1014745,16,15142,61
1-1007804,16,15672.6,30
6-1000329,16,3579.24,24
6-1000535,16,11181.96,17
1-1009795,16,9336,16
1009734,15,2729.96,133
1016613,15,9656.4,75
1-1002778,15,5476.4,61
4-1001222,15,2710.9,14
1-1001415,14,5836,65
2-1001642,14,8691.42,61
1-1001832,14,4611.44,58
4-1000039,14,4193.8,31
4-1000093,14,3757.6,30
3-1000659,14,4494.48,9
5-1001546,14,1796.83,8
1017137,13,12942,84
1-1002511,13,15388.4,61
1-1005650,13,4713.4,50
1-1006886,13,8650.8,34
1-1007805,13,4879.16,33
1-1000283,13,4443.8,24
6-1000004,13,1062.68,12
1007367,12,11475.4,141
240008866,12,12726.8,62
1-1001968,12,4468,55
1-1003670,12,7272,53
2-1000035,12,13601.8,53
1-1002689,12,1675.6,45
1-1006042,12,6080.28,42
1-1004908,12,7003.2,37
3-1000908,12,6806.6,24
2-1000857,12,9116,22
6-1000307,12,1991.62,22
4-1001623,12,3410.84,8
1005328,11,5235.2,163
1-1002209,11,4667.8,68
1-1001352,11,4276.84,59
1-1004827,11,2479.4,46
2-1002698,11,2726.61,41
2-1000309,11,6567.8,38
1-1006920,11,2830.6,34
1-1005249,11,458.07,33
1-1003026,11,8928.6,32
6-1000057,11,2678.73,27
2-1003350,11,14809.76,23
4-1000956,11,4924.92,23
6-1000135,11,2484.96,23
7-1000031,11,3643.4,10
5-1001004,11,1782.58,9
4-1002062,11,4434.92,3
1-1000757,11,9646.8,0
1-1000762,11,6975,0
240002792,10,4470.5,152
1013306,10,4069.34,109
240007068,10,10427.8,94
240007649,10,8788,94
1017215,10,2387.6,63
1-1001627,10,5317.4,61
1-1003477,10,14480.8,52
1-1005880,10,6802.7,30
1-1007726,10,5442,23
6-1000550,10,2609.18,20
4-1001565,10,8588,12
6-1000519,10,3728.44,12
4-1002039,10,4378.2,5
5-1000648,10,5474,3
1015659,9,2782.76,81
1-1001058,9,4140.4,74
240009285,9,9003.8,71
1-1000629,9,10463.29,71
2-1001402,9,3282.48,55
1-1005190,9,11817.6,50
1-1004159,9,4650.8,49
1016989,9,7434,45
2-1002127,9,7424.8,43
1-1007464,9,6532.92,38
1-1004944,9,1179.8,36
1-1000444,9,7229.6,27
1-1006952,9,4073.7,27
